Class,Age,Sex,Status
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,survived
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
3rd,adult,male,died
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
