Sex,Age,Relationship_duration,Images,PartnerAttractiveness,LoveForPartner,ImagePleasantness
Female,28,4.66667,Nudes,8.33333333333333,8.46153846153846,6.5625
Male,37,10,Nudes,7,7.61538461538461,6.25
Male,34,4,Abstract art,8,6.38461538461539,4.1875
Female,28,8,Abstract art,7,8.61538461538461,5
Female,30,5.5,Abstract art,9,8.38461538461539,6.5
Female,30,4,Nudes,7.33333333333333,5.46153846153846,3.25
Male,39,6.33333,Abstract art,8.33333333333333,4.07692307692308,5.3125
Male,22,1.5,Nudes,9,7.84615384615385,3
Female,28,5.75,Abstract art,5,6.61538461538461,5.3125
Female,20,1.41667,Nudes,5.33333333333333,8.30769230769231,5.8125
Female,32,17.6667,Abstract art,7.33333333333333,8.15384615384615,4.1875
Male,53,30.5,Nudes,8.33333333333333,8.38461538461539,6.1875
Male,41,13.5,Abstract art,9,8.61538461538461,4.375
Male,28,4.25,Abstract art,6,7.23076923076923,4.875
Female,33,7.25,Abstract art,6.33333333333333,7.23076923076923,4
Female,26,3.33333,Abstract art,8,6.46153846153846,5.1875
Male,33,1,Abstract art,8,7.61538461538461,4.25
Male,29,10,Nudes,6.66666666666667,7.38461538461539,6.125
Female,34,13.9167,Abstract art,9,8.38461538461539,7
Female,41,23.0833,Nudes,8,7.53846153846154,1.1875
Female,26,5.41667,Abstract art,7.33333333333333,8,4.5
Male,52,10.5,Nudes,8.66666666666667,6,5.25
Female,26,8.33333,Nudes,6.33333333333333,6.69230769230769,4
Male,28,2.41667,Abstract art,8,7.61538461538461,5.8125
Male,32,10.25,Nudes,7.33333333333333,7.30769230769231,4.875
Male,29,5.5,Abstract art,7,5.84615384615385,4.0625
Male,28,8.16667,Nudes,8.66666666666667,6.76923076923077,6
Female,45,8.25,Abstract art,7.66666666666667,6.69230769230769,5.875
Male,25,5.08333,Nudes,8,8.15384615384615,7
Female,21,1.16667,Nudes,6.33333333333333,6.53846153846154,3.6875
Female,40,11,Nudes,5,4.46153846153846,4.8125
Female,53,3.16667,Abstract art,8.66666666666667,9,5.6875
Male,50,15.9167,Abstract art,7.33333333333333,5.38461538461539,4.25
Female,83,2.08333,Nudes,8,4.07692307692308,3.625
Female,33,2.08333,Abstract art,6,5.15384615384615,4.1875
Male,30,14.25,Nudes,8.33333333333333,8.30769230769231,6.3125
Female,34,11.5,Nudes,2,4.61538461538461,4.75
Male,69,53.6667,Abstract art,9,8.92307692307692,5.5625
Female,24,3.33333,Abstract art,6,6,5.1875
Male,34,10.0833,Nudes,8.33333333333333,8.38461538461539,4.9375
Female,30,8.16667,Abstract art,5.66666666666667,7.07692307692308,4.875
Male,31,16.0833,Abstract art,9,7.53846153846154,5
Male,33,6.33333,Abstract art,6.66666666666667,6.07692307692308,4.25
Female,32,14.1667,Abstract art,9,8.46153846153846,5.5
Male,33,3.16667,Abstract art,8,7,4.75
Male,31,2,Nudes,9,8.69230769230769,6.0625
Male,24,0.666667,Nudes,5.66666666666667,5.46153846153846,5.5625
Female,25,0.583333,Abstract art,6.66666666666667,7.69230769230769,4.125
Female,26,7.16667,Nudes,9,7.76923076923077,4.625
Male,48,27.1667,Nudes,8,8.38461538461539,6.9375
Male,28,2.25,Abstract art,7.66666666666667,7.07692307692308,4
Male,31,9,Abstract art,8.33333333333333,8.23076923076923,4.1875
Male,54,25.0833,Abstract art,7.66666666666667,7.30769230769231,6.375
Female,21,1.83333,Abstract art,8.66666666666667,8,5
Male,35,8.33333,Nudes,2.66666666666667,4.76923076923077,4.0625
Male,34,13.25,Abstract art,8,7.30769230769231,4.9375
Female,22,1.41667,Abstract art,3,5.23076923076923,5.3125
Male,33,8.75,Abstract art,5.33333333333333,5.76923076923077,4.8125
Male,33,5,Nudes,9,7.92307692307692,4.375
Male,30,2.5,Nudes,8,8.46153846153846,7
Female,33,4.83333,Nudes,4,5.53846153846154,6.5625
Male,29,5,Abstract art,5,6.61538461538461,4.75
Male,40,7.33333,Abstract art,7.66666666666667,8.23076923076923,4.1875
